time,Engagement,Excitement,Stress,Relaxation,Interest,Focus
0.0,0.556424,0.343362,0.37288899999999997,0.37414000000000003,0.526667,0.47166199999999997
1.0,0.5638866,0.34092426666666664,0.37023813333333333,0.3693934,0.5246232666666666,0.4782308666666666
2.0,0.5724152857142857,0.33813828571428567,0.3672085714285714,0.3639687142857143,0.5222875714285714,0.48573814285714284
3.0,0.5817968400000001,0.3350737066666667,0.36387605333333334,0.35800156,0.5197183066666666,0.49399614666666664
4.0,0.5918111677419354,0.3318024258064516,0.3603187612903226,0.35163192903225804,0.5169757483870967,0.5028111419354838
5.0,0.6030050677419354,0.3281458258064516,0.35634246129032254,0.3445120290322581,0.5139101483870967,0.5126644419354839
6.0,0.6141989677419355,0.3244892258064516,0.35236616129032255,0.337392129032258,0.5108445483870967,0.5225177419354838
7.0,0.6253928677419355,0.3208326258064516,0.34838986129032257,0.33027222903225806,0.5077789483870968,0.5323710419354839
8.0,0.6365867677419356,0.31717602580645166,0.3444135612903226,0.32315232903225805,0.5047133483870967,0.542224341935484
9.0,0.6477806677419355,0.31351942580645165,0.3404372612903226,0.31603242903225803,0.5016477483870968,0.5520776419354838
10.0,0.6589745677419355,0.30986282580645164,0.33646096129032255,0.308912529032258,0.49858214838709675,0.5619309419354839
11.0,0.6530744806451614,0.30761407096774196,0.3356888935483871,0.30885812580645156,0.4982065612903226,0.556368706451613
12.0,0.6386274000000001,0.3060692387096774,0.3365189419354839,0.31233647096774186,0.4991759806451613,0.5430987032258064
13.0,0.6199068225806452,0.3048763677419355,0.3381500483870968,0.3175811903225806,0.5008179032258064,0.5259748161290323
14.0,0.5990494967741936,0.3038594774193549,0.3401816838709677,0.3237090967741935,0.5027960774193548,0.5069239870967741
15.0,0.5771237967741936,0.3029305774193548,0.34241358387096776,0.3302785967741935,0.5049423774193548,0.4869096870967742
16.0,0.5551980967741936,0.3020016774193548,0.3446454838709677,0.33684809677419353,0.5070886774193548,0.46689538709677414
17.0,0.5332723967741935,0.3010727774193548,0.3468773838709677,0.3434175967741936,0.5092349774193548,0.44688108709677415
18.0,0.5113466967741935,0.3001438774193549,0.34910928387096773,0.3499870967741935,0.5113812774193549,0.42686678709677417
19.0,0.4894209967741936,0.2992149774193549,0.3513411838709677,0.35655659677419355,0.5135275774193548,0.40685248709677413
20.0,0.46749529677419355,0.29828607741935487,0.3535730838709677,0.36312609677419355,0.5156738774193548,0.3868381870967742
